a person cutting a piece of paper with scissors ., ./sample-video-frames/painting____yt-Oe6NrPU_6HI_199.jpg
a man sitting at a table in front of a microphone ., ./sample-video-frames/smoking____yt-IeeEZo9ISYw_84.jpg
a group of people sitting around a table ., ./sample-video-frames/photographing____getty-bride-and-bridesmaid-posing-for-photo-video-id584791650_7.jpg
a black and white photo of a man on a toilet ., ./sample-video-frames/wetting____flickr-5-2-3-2-6-3-9-2-25452326392_23.jpg
a woman standing in front of a bathroom sink ., ./sample-video-frames/cleaning____yt-ni-Qoa34rcc_405.jpg
a close up of a bird on a tree branch, ./sample-video-frames/licking____getty-bristol-zoos-handreared-baby-gorilla-finally-living-with-animal-for-video-id642246336_12.jpg
a person holding a pair of scissors in their hands ., ./sample-video-frames/dripping____yt-u0Ivf2Fj5zI_160.jpg
a man in a suit and tie is smiling ., ./sample-video-frames/adult+female+speaking____yt-xZmD5N-aJAE_206.jpg
a person riding a surf board on a wave, ./sample-video-frames/slipping____8BsSXVaPoI8_318.jpg
a group of people sitting around a table ., ./sample-video-frames/autographing____getty-emma-watson-tries-to-sign-autographs-for-fans-as-she-arrives-at-the-video-id119044626_23.jpg
a person holding a pair of scissors in their hands ., ./sample-video-frames/painting____yt-YMI-qt7SzQo_76.jpg
a man standing next to a woman in a kitchen ., ./sample-video-frames/feeding____getty-farmer-seikou-sekimura-feeds-chinese-herbs-to-cows-at-his-farm-in-video-id638067994_25.jpg
a man holding a nintendo wii game controller ., ./sample-video-frames/adult+male+speaking____yt-pY1PMX63x9s_273.jpg
a woman in a red shirt and a black tie, ./sample-video-frames/child+singing____peeks-www_k_to_keek_MtP1eab_15.jpg
a microwave oven sitting on top of a table ., ./sample-video-frames/rubbing____yt-_igGTvJLJGU_78.jpg
a man riding a skateboard on top of a ramp ., ./sample-video-frames/overflowing____vb-hydroelectric-power-station-odtmxov_11.jpg
a man holding a nintendo wii game controller ., ./sample-video-frames/laughing____yt-C54jAu2YS9Y_163.jpg
a group of people on a field playing baseball ., ./sample-video-frames/cheering____RpkHFz2BF1A_121.jpg
a group of people standing around each other ., ./sample-video-frames/stomping____yt-0LuRRIRiYi4_250.jpg
a man is cutting a cake with a knife ., ./sample-video-frames/manicuring____yt-KRU-t4n1CKA_132.jpg
a person riding a snowboard down a snow covered slope ., ./sample-video-frames/snowing____yt-0bkmUXjwKaA_14.jpg
a couple of women sitting next to each other ., ./sample-video-frames/wrestling____yt-y2ZtHPeP4Vs_5.jpg
a stack of books sitting on top of a bed ., ./sample-video-frames/packing____5-2-7-8-3-2-7-9-5352783279_41.jpg
a woman laying on a bed with a book ., ./sample-video-frames/massaging____getty-physiotherapist-stretching-the-leg-of-a-lying-patient-video-id150391581_7.jpg
a woman holding an umbrella in the rain ., ./sample-video-frames/raining____getty-businesswoman-exposing-to-the-rain-video-id460709877_3.jpg
a black and white photo of a man with a baseball bat ., ./sample-video-frames/catching____giphy-dtXVgNn1qrKP6_1.jpg
a person holding a cell phone in their hand ., ./sample-video-frames/repairing____yt-CVN94wbQIRI_55.jpg
a woman sitting in front of a laptop computer ., ./sample-video-frames/socializing____getty-business-woman-on-telephone-video-id460904516_9.jpg
